QID,domain,subdomain,question,imageURL,options,answer,explaination
1473,Amines,Amine Chemical Reaction,Identify the correct order of basic strength of the following substituted anilines?,0,"['p-Methylaniline &gt; m-Methylaniline &gt; p-Nitroaniline &gt; m-Nitroaniline', 'p-Methylaniline &gt; m-Methylaniline &gt; m-Nitroaniline &gt; p-Nitroaniline', 'p-Nitroaniline &gt; m-Nitroaniline &gt; p-Methylaniline &gt; m-Methylaniline', 'p-Nitroaniline &gt; m-Nitroaniline &gt; m-Methylaniline &gt; p-Methylaniline']",b,The base weakening effect of electron withdrawing group (NO<sub>2</sub>) and the base strengthening effect of electron donating group (CH<sub>3</sub>) is more prominent at para position than at meta position.
1474,Amines,Amine Chemical Reaction,"If ‘a’ is the pK<sub>b</sub> value of aniline and ‘b’, ‘c’ and ‘d’ are the pK<sub>b</sub> values of o-, m- and p- isomers of methylaniline respectively, what is the correct order of the values a, b, c and d?",0,"['a &gt; b &gt; c &gt; d', 'd &gt; c &gt; a &gt; b', 'd &gt; c &gt; b &gt; a', 'b &gt; a &gt; c &gt; d']",d,"Every ortho substituted aniline (electron withdrawing or electron releasing group) is less basic than aniline and consequently its meta and para isomers. This is because of the ortho effect, which is due to the combination of stearic and electronic factors."
1475,Amines,Amine Chemical Reaction,"If the pK<sub>b</sub> value of p-nitroaniline is 13, predict the pK<sub>b</sub> value of its ortho isomer?",0,"['9.38', '11.54', '13', '14.22']",d,"NO<sub>2</sub> is an electron withdrawing group and has a weakening effect on the basicity of anilines. Its presence at para position will be more influencing than at meta, but less weakening than at ortho position. This anomaly is due to a complex ortho effect (stearic and electronic reasons). Hence o-nitroaniline is a weaker base and has a higher pK<sub>b</sub> value than p-nitroaniline."
1476,Amines,Amine Chemical Reaction,Phenylmethanamine is more basic than benzenamine.,0,"['True', 'False']",a,"In arylalkyl amines, the lone pair od electrons on N is not conjugated with the benzene ring and is not delocalized. Hence, the lone pair of electrons on n atom inn arylalkyl amines is more readily available for protonation than that on the N atom of benzenamine."
1477,Amines,Amine Chemical Reaction,"If x and y are the pK<sub>b</sub> values of p-methylaniline and N,N-dimethylaniline, what is the relation between x and y?",0,"['x &gt; y', 'x &lt; y', 'x = y', 'x &gt;&gt; y']",a,"The basicity of N-methyl anilines is very slightly higher than that of ring substituted methyl anilines. This is because the methyl group is directly attached to the N atom in N,N-dimethylaniline and the electron effect is more pronounced. But this is only a minute effect."
1478,Amines,Amine Chemical Reaction,What is the correct order of basic strength of the following compounds?,0,"['Aniline &gt; Diphenylaniline &gt; Triphenylaniline', 'Aniline &gt; Triphenylaniline &gt; Diphenylaniline', 'Diphenylaniline &gt; Triphenylaniline &gt; Aniline', 'Triphenylaniline &gt; Diphenylaniline &gt; Aniline']",a,"When hydrogen atoms of amino groups are replaced by electron withdrawing groups (in this case, phenyl group), the basic character of the resulting aryl amine decreases."
1479,Amines,Amine Chemical Reaction,Alkylation of amines with alkyl halides proceeds by _________,0,"['electrophilic addition', 'electrophilic substitution', 'nucleophilic addition', 'nucleophilic substitution']",d,"The amines itself acts as nucleophiles and attack the alkyl halide at the carbon-halogen bond to substitute the halogen atom by itself. This occurs by production of small amount of acid at each step, which may prevent the reaction by proceeding by protonating the amine."
1480,Amines,Amine Chemical Reaction,Which of the following is not a likely product of the alkylation of amines with methyl iodide?,0,"['Primary amine', 'Secondary amine', 'Tertiary amine', 'Quaternary ammonium salt']",a,"Primary and secondary amines react with alkyl halide to form tertiary amines by nucleophilic substitution. When a primary or secondary amine acts as the nucleophile, a secondary or tertiary amine is generated respectively. Finally, the tertiary amine reacts with the remaining methyl iodide to form quaternary ammonium iodide salt."
1481,Amines,Amine Chemical Reaction,The alkylation of amines with alkyl halides is carried out in the presence of which of the following?,0,"['Alcohol', 'Acid', 'Base', 'LiAlH<sub>4</sub>']",c,"Some amount of strong acid is produced at each step of alkylation. This acid can protonate the amine, making the electron lone pair of N unavailable for nucleophilic attack and therefore halt the reaction. For this reason, the acid needs to be neutralised and hence, a base is needed during the reaction."
1482,Amines,Amine Chemical Reaction,"During the acylation of an aliphatic primary amine, which of the following is replaced by an acyl group?",0,"['NH<sub>2</sub> group', 'One H atom of NH<sub>2</sub>', 'Both H atoms of NH<sub>2</sub>', 'Alkyl group of the amine']",b,"Aliphatic and aromatic 1° and 2° amines react with acid chlorides, anhydrides and esters by nucleophilic substitution, where the H atom of NH<sub>2</sub> or NH group is replaced by the acyl group."
1483,Amines,Amine Chemical Reaction,"Which of the following is formed from the reaction between RNHR’ and R”OCl, where R, R’ and R” are three different alkyl groups?",0,"['RNR’COR”', 'R<sub>2</sub>NCOR’', 'R’<sub>2</sub>NCOR”', 'R”NR’COR']",a,"This an acylation reaction in which the H atom of RNHR’ gets replaced by the COR” group form R”OCl. Thus, the amide formed consists of three different alkyl groups with two attached to the N atom and one attached to the carbonyl carbon."
1484,Amines,Amine Chemical Reaction,The reaction shown below gives ________,https://www.sanfoundry.com/wp-content/uploads/2020/02/chemistry-questions-answers-amines-chemical-reactions-3-q8.png,"['N,N-dimethylmethanamide', 'N,N-dimethylethanaminde', 'N-methylethanamide', 'no reaction']",d,"The amine that is treated with CH<sub>3</sub>COCl is a tertiary amine (N,N-dimethylmethanamine). It does not undergo reaction with acetyl chloride as it does not have a replaceable hydrogen atom. Therefore, for the acylation of an amine, a H atom on nitrogen is required along with the lone pair of electrons."
1485,Amines,Amine Chemical Reaction,"The reaction between ethanamine and acetyl chloride will give N-ethylethanamide only in the presence of a strong base, like pyridine.",0,"['True', 'False']",b,A base like pyridine may be used in the acylation of amines only to increase the concentration of the product formed. The base removes the HCl formed during the reaction and shifts the equilibrium to the right-hand side.</div>
1486,Amines,Amine Chemical Reaction,What are the products formed from the reaction between aniline and ethanoic anhydride?,0,"['N-Phenylethanamide and hydrochloric acid', 'N-Phenylethanamide and acetic acid', 'N-Methylbenzamide and acetic acid', 'N-Methylbenzamide and hydrochloric acid']",b,The H atom attached to nitrogen of aniline is replaced by COCH<sub>3</sub> group of ethanoic anhydride. This forms N-phenylethanamide (or acetanilide). The by product (acetic acid) is formed by the attachment of the H atom from aniline with remaining CH<sub>3</sub>COO part of ethanoic anhydride.
1487,Amines,Amine Chemical Reaction,What is the product of the benzoylation of aniline in the presence of aqueous NaOH?,0,"['N-Ethylethanamide', 'N-Ethylbenzamide', 'N-Phenylethanamide', 'N-Phenylbenzamide']",d,Amines react with benzoyl chloride (C<sub>6</sub>H<sub>5</sub>COCl) in the presence of a base to form benzoyl derivatives in which the C<sub>6</sub>H<sub>5</sub>CO<sup>–</sup> group is introduced. This is called benzoylation reaction.
1488,Amines,Amine Chemical Reaction,Which of the following amines does not undergo benzoylation?,0,"['N-Methylethanamine', 'N-Ethylethanamine', 'N,N-Dimethylethanamine', 'N-Methylbenzenamine']",c,"For benzoylation to take place, there should be a hydrogen atom present at the nitrogen of the amine for the C<sub>6</sub>H<sub>5</sub>CO<sup>–</sup> group to replace. This is not the case in tertiary amines like N,N-dimethylethanamine and hence they do not undergo benzoylation."
1489,Amines,Amine Chemical Reaction,"A certain amine ‘X’ when heated with chloroform and alcoholic KOH, produced no reaction. Identify ‘X’ from the following.",0,"['Methylamine', 'Ethylamine', 'Ethylmethylamine', 'Aniline']",c,"When an amine is heated with CHCl<sub>3</sub> and alc. KOH and does not give any reaction, it indicates that it is a secondary or tertiary amine. This is called as carbylamines test and the compound ‘X’ will be ethylmethylamine, as it is 2° and fails the test."
1490,Amines,Amine Chemical Reaction,Which of the following compounds is not formed during the heating of ethylamine with chloroform in ethanolic KOH?,0,"['Propanenitrile', 'Ethyl isocyanide', 'Potassium chloride', 'Water']",a,"Ethylamine on heating with chloroform and ethanolic KOH forms an isocyanide, ethyl isocyanide (CH<sub>3</sub>CH<sub>2</sub>NC) along with KCl and H<sub>2</sub>O. This is known as carbylamines reaction. Propanenitrile (CH<sub>3</sub>CH<sub>2</sub>CN) is not formed as it is the cyanide form of ethyl isocyanide."
1491,Amines,Amine Chemical Reaction,Aniline on carbylamines test gives an unpleasant foul odour.,0,"['True', 'False']",a,"Aniline is a primary aromatic amine and reacts with chloroform and alc. KOH to give phenyl isocyanide, which is a foul smelling substance."
1492,Amines,Amine Chemical Reaction,Which gas is produced when ethanamine reacts with nitrous acid?,0,"['N<sub>2</sub>', 'H<sub>2</sub>', 'HCl', 'O<sub>2</sub>']",a,Nitrogen gas is evolved due to the decomposition of diazonium salts which are formed from the reaction of 1° aliphatic amines with HNO<sub>2</sub>. This is used in the estimation of amino acids and proteins.
1493,Amines,Amine Chemical Reaction,What is the main product of the following reaction?,https://www.sanfoundry.com/wp-content/uploads/2020/02/chemistry-questions-answers-amines-chemical-reactions-4-q2.png,"['Benzene diazonium chloride', 'Phenol', 'o-Nitrosoaniline', 'p-Nitrosoaniline']",b,"Primary aromatic amines react with nitrous acid at cold temperatures (273-278K) to form diazonium salts. However, if the temperature is more than 278K, phenol is formed along with the evolution of nitrogen gas."
1494,Amines,Amine Chemical Reaction,Tertiary amines dissolve in nitrous acid to form corresponding salts.,0,"['True', 'False']",a,"Tertiary amines on reaction with cold HNO<sub>2</sub> remain dissolved, forming amine nitrite salts, which decompose to nitrosoamines and alcohol on warming."
1495,Amines,Amine Chemical Reaction,Which of the following is not a final product of the reaction between propylamine and nitrous acid?,0,"['', 'CH<sub>3</sub>CH<sub>2</sub>CH<sub>2</sub>N<sub>2</sub>Cl', 'CH<sub>3</sub>CH<sub>2</sub>CH<sub>2</sub>OH', 'N<sub>2</sub> gas', 'H<sub>2</sub>O']",a,CH<sub>3</sub>CH<sub>2</sub>CH<sub>2</sub>N<sub>2</sub>Cl is a diazonium salt derivative of propanamine and is first formed when it reacts with HNO<sub>2</sub>. This is a very unstable compound and immediately decomposes to give propanol and evolves nitrogen gas.
1496,Amines,Amine Chemical Reaction,Diethylamine reacts with nitrous acid in the cold to form _______,0,"['diazonium salt', 'alcohol', 'imine', 'nitrosoamine']",d,"Secondary amines react slowly with nitrous acid at low temperatures to give yellow oily nitrosoamines. Diethylamine specifically produces N,N-diethylnitrosoamine."
1497,Amines,Amine Chemical Reaction,Hinsberg’s reagent is _______,0,"['benzenesulfonic acid', 'benzenesulphonyl chloride', 'p-toluenesulphonyl chloride', 'chlorosulphuric acid']",b,"Benzenesulphonyl chloride (C<sub>6</sub>H<sub>5</sub>SO<sub>2</sub>Cl), or arylsulphonyl chloride, is known as Hinsberg’s reagent. It is an important compound used in the distinction of different classes of amines."
1498,Amines,Amine Chemical Reaction,"Which of the following amines, on reaction with benzenesulphonyl chloride, will give a sulphonamide that is insoluble in alkali?",0,"['Ethylamine', 'Ethylmethylamine', 'Trimethylamine', 'Aniline']",b,"Secondary amines on reaction with Hinsberg’s reagent produce sulphonamides without any hydrogen atom attached to the nitrogen atom. Hence, it is not acidic and therefore insoluble in alkali. The amide produced in this case is N-ethyl-N-methylbenzenesulphonamide."
1499,Amines,Amine Chemical Reaction,"Which of the following amines will form a product that is soluble in KOH, on reaction with Hinsberg’s reagent?",0,"['Isopropylamine', 'Diethylamine', 'N,N-Dimethylpropylamine', 'N,N-Dimethylaniline']",a,"The reaction of Hinsberg’s reagent with Isopropylamine gives N-isopropylbenzene sulphonamide. The lone hydrogen attached to the N atom is strongly acidic due to the presence of strong electron withdrawing sulphonyl group. Hence, is it soluble in alkali like KOH."
1500,Amines,Amine Chemical Reaction,Which of the following reactions/tests does not help in the distinction between ethylamine and diethylamine?,0,"['Carbylamine test', 'Hinsberg’s test', 'Reaction with HNO<sub>2</sub>', 'Reaction with CH<sub>3</sub>CH<sub>2</sub>Br']",d,"Both ethylamine and diethylamine on reaction with CH<sub>3</sub>CH<sub>2</sub>Br eventually gives quaternary ammonium salt. Hence, the alkylation of primary amines cannot be used as a distinction method."
1501,Amines,Amine Chemical Reaction,Aniline is a _______ directing compound.,0,"['ortho', 'meta', 'ortho and para', 'ortho, meta and para']",c,"The ortho and para positions with respect to NH<sub>2</sub> group in aniline are centres of high electron density. This is due to the resonance structures of aniline. Thus, NH<sub>2</sub> is ortho and para directing and a powerful activating group."
1502,Amines,Amine Chemical Reaction,The activating effect of -NHCOCH<sub>3</sub> group is ______ as compared to -NH<sub>2</sub> group.,0,"['less', 'same', 'more', 'very high']",a,"The -NHCOCH<sub>3</sub> group forms two resonance structures, where the lone pair of nitrogen interacts with the lone pairs on oxygen atom. This makes the lone electron pair on N less available for donation to benzene ring."
1503,Amines,Amine Chemical Reaction,What is the major product formed when aniline reacts with bromine water at room temperature?,0,"['2-Bromoaniline', '4-Bromoanline', '2,6-Dibromoaniline', '2,4,6-Tribromoaniline']",d,"Since amino group is highly ortho and para directing, it substitutes the Br group at the para as well as both ortho positions (2,4,6) to give a white precipitate of a tribromo substituted aniline."
1504,Amines,Amine Chemical Reaction,What is the order of quantities of all isomers of nitroaniline formed on the reaction of aniline with nitric acid and sulphuric acid at 288K?,0,"['ortho &gt; meta &gt; para', 'para &gt; ortho &gt; meta', 'para &gt; meta &gt; ortho', 'meta &gt; para &gt; ortho']",c,"Nitration of aniline produces nitro derivatives. Under controlled conditions, aniline is protonated (by strong acidic medium) to form anilinium ion, which is meta directing. Therefore, apart from p-nitroaniline (51%) and o-nitroaniline (2%), a significant amount of m-nitroaniline (47%) is also formed."
1505,Amines,Amine Chemical Reaction,It is possible to obtain para isomers of anilines as the major product in electrophilic ring substitution of aniline.,0,"['True', 'False']",a,This is possible by protecting the amino group of aniline by reacting it with acetic anhydride (acetylation)  to give acetanilide. This compound on desired substitution reaction followed by hydrolysis gives para substituted aniline as major product.
1506,Amines,Amine Chemical Reaction,"A compound ‘P’ on treating with concentrated H<sub>2</sub>SO<sub>4</sub> forms ‘R’. The product ‘R’ on heating at 460K forms a zwitter ionic compound. Identify P, R respectively.",0,"['Aniline; anilinium hydrogensulphate', 'Aniline; sulphanilic acid', 'Anilinium hydrogensulphate; sulphanilic acid', 'Sulphanilic acid; anilinium hydrogensulphate']",a,Aniline (P) reacts with conc. H<sub>2</sub>SO<sub>4</sub> to form anilinium hydrogensulphate (R) which on heating at 453-473K produces sulphanilic acid (zwitter ionic compound).
1507,Amines,Preparation Method,What is the most suitable temperature for the diazotisation reaction to take place?,0,"['0°C', '10°C', '22°C', '30°C']",a,"Benzene diazonium salts are prepared by the reaction of aniline with nitrous acid at very low temperatures (273-278K). If the temperature was to cross 278K, phenol will be formed instead."
1508,Amines,Preparation Method,Identify the diazonium group in the diazonium salt ArN<sub>2</sub><sup>+</sup>Br-.,0,"['ArN<sub>2</sub><sup>+</sup>', 'N<sub>2</sub><sup>+</sup>Br<sup>–</sup>', 'N<sub>2</sub><sup>+</sup>', 'ArN<sub>2</sub>Br']",c,"The Ar represents the aromatic ring and Br<sup>–</sup> is the negative ion that forms the salt by combining with the diazonium group, N<sub>2</sub><sup>+</sup>."
1509,Amines,Preparation Method,What is the correct name of the compound C<sub>6</sub>H<sub>5</sub>N<sub>2</sub><sup>+</sup>HSO<sub>4</sub><sup>–</sup>?,0,"['Benzenediazonium hydrogensulphate', 'Benzenehygrogensulphate diazonium', 'Diazonium benzenehydrogensulphate', 'Hydrogensulphate diazoniumbenzene']",a,"Diazonium salts are named by suffixing diazonium to the parent hydrocarbon (benzene) from which they are formed, followed by the name of the anion (HSO<sub>4</sub><sup>–</sup>)."
1510,Amines,Preparation Method,Identify the reagent ‘X’ in the following reaction.,https://www.sanfoundry.com/wp-content/uploads/2020/02/chemistry-questions-answers-method-preparation-diazonium-salts-q4.png,"['HNO<sub>3</sub>', 'NaNO<sub>2</sub> and HCl', 'NaCl and HNO<sub>3</sub>', 'NaNO<sub>2</sub> and H<sub>2</sub>SO<sub>4</sub>']",b,"Aniline actually reacts with HNO<sub>2</sub> (nitrous acid) at 273K to form Benzenediazonium chloride. But this nitrous acid in produced in situ, by a mixture of NaNO<sub>2</sub> and HCl."
1511,Amines,Preparation Method,Why is the reason for the stability of aromatic diazonium salts?,0,"['Dispersal of negative charge over the benzene ring', 'Dispersal of positive charge over benzene ring', 'Bond between diazonium group and anion', 'High electronegativity of anion compared to the N atom']",b,"The stability of benzenediazonium salt is due to its resonance structures. In three of the resonance structures, the positive charge is dispersed over the benzene ring at ortho and para positions."
1512,Amines,Preparation Method,Aliphatic diazonium salts are highly unstable.,0,"['True', 'False']",a,Alkyldiazonium salts are highly unstable as they readily decompose at low temperatures forming a carbocation and nitrogen gas.
1513,Amines,Preparation Method,The preparation of diazonium salts from primary aromatic amines is known as ______,0,"['acylation', 'alkylation', 'benzonation', 'diazotisation']",d,"This is a method of preparation of diazonium salts. This occurs by the formation of nitrosonium ion followed by diazohydroxide, which on protonation gives diazonium ion. This takes up the acid anion to form diazonium salt."
1514,Amines,Physical Properties,Aromatic diazonium salts are stable at _____ temperatures.,0,"['cold', 'room', 'warm', 'high']",a,"Benzenediazonium salts are stable in cold environment, but readily react with water when the temperature increases even slightly."
1515,Amines,Physical Properties,"When a blue litmus paper is dipped in an aqueous solution of benzenediazonium bromide, the litmus paper _____",0,"['turns red', 'turns orange', 'turns black', 'remains unchanged']",d,"Benzenediazonium bromide is a salt, made of a positive diazonium group and a negative bromide ion. Thus, it remains neutral to litmus paper."
1516,Amines,Physical Properties,Benzenediazonium chloride is ______ in water.,0,"['slightly soluble', 'highly soluble', 'insoluble', 'highly insoluble']",b,"Benzenediazonium chloride is readily soluble in polar solvents like water. However, it is less soluble in solvents like alcohol."
1517,Amines,Physical Properties,Which of the following best describes benzenediazonium chloride?,0,"['Yellow solid', 'Colourless crystals', 'White powder', 'Oily liquid']",b,Benzenediazonium chloride is usually obtained in crystal form. It is unstable and formed for a short period when aniline reacts with nitrous acid. It is a salt with chlorine as the negative group and diazo group as positive.
1518,Amines,Physical Properties,Which of the following diazonium salts is insoluble in water?,0,"['C<sub>6</sub>H<sub>5</sub>N<sub>2</sub><sup>+</sup>Cl<sup>–</sup>', 'C<sub>6</sub>H<sub>5</sub>N<sub>2</sub><sup>+</sup>Br<sup>–</sup>', 'C<sub>6</sub>H<sub>5</sub>N<sub>2</sub><sup>+</sup>HSO<sub>4</sub><sup>–</sup>', 'C<sub>6</sub>H<sub>5</sub>N<sub>2</sub><sup>+</sup>BF<sub>4</sub><sup>–</sup>']",d,Certain diazonium salts such as fluoroborates are insoluble in water. This makes them stable enough to be dried and stored.
1519,Amines,Physical Properties,Which of the following properties is suitable for all diazonium salts?,0,"['', 'Water soluble', 'Coloured solids', 'Explosive', 'Unreactive']",c,"Diazonium salts are unstable and may explode in dry state. Therefore, they are generally used in solution or aqueous state."
1520,Amines,Physical Properties,Benzenediazonium chloride is commercially available in packaged form.,0,"['True', 'False']",b,"Because of the highly unstable nature of diazonium salts, they are not commercially available. Instead, they are prepared on demand."
1521,Amines,Chemical Reactions,"In reactions of diazonium salts involving the displacement of diazonium group, the nitrogen escapes as _____",0,"['precipitate', 'liquid', 'gas', 'crystals']",c,Nitrogen gas is liberated when diazonium salts are treated with suitable reagents so as to displace the N<sub>2</sub><sup>+</sup>X<sup>–</sup> (X=anion) with an anionic group. This may or may not involve the production of another by-product.
1522,Amines,Chemical Reactions,Identify the most suitable reagent for converting benzene diazonium chloride to chlorobenzene.,0,"['CuCl<sub>2</sub>/HCl', 'Cu<sub>2</sub>Cl<sub>2</sub>/HCl', 'CuSO<sub>4</sub>/HCl', 'CuSO<sub>2</sub>/H<sub>2</sub>SO<sub>4</sub>']",b,The Cl<sup>–</sup> nucleophile can be introduced in the benzene ring in the presence of Cu(I) ion which is produced by Cu<sub>2</sub>Cl<sub>2</sub> in hydrochloric acid. This on warming with the diazonium salt will give chlorobenzene.
1523,Amines,Chemical Reactions,Which of the following cannot be formed from Sandmeyer reaction on benzenediazonium chloride?,0,"['Chlorobenzene', 'Bromobenzene', 'Iodobenzene', 'Benzonitrile']",c,"Sandmeyer reaction is used for the introduction of chloride, bromide and cyanide ions only in the benzene ring of diazonium salts, by replacing the diazo group. Iodobenzene is produced by another reaction."
1524,Amines,Chemical Reactions,Identify Y in the following reaction.,https://www.sanfoundry.com/wp-content/uploads/2020/02/chemistry-questions-answers-diazonium-salts-chemical-reactions-1-q4.png,"['Cu<sub>2</sub>Cl<sub>2</sub>/KCN', 'CuCN/KCN', 'Cu<sub>2</sub>Cl<sub>2</sub>/HCN', 'CuCN/HCN']",b,"When benzenediazonium chloride is treated with copper cyanide in aqueous potassium cyanide solution, benzonitrile is formed. This is also categorized under Sandmeyer reaction."
1525,Amines,Chemical Reactions,Which of the following can be produced by Gatterman reaction of diazonium salts?,0,"['Bromobenzene', 'Fluorobenzene', 'Nitrobenzene', 'Cyanobenzene']",a,Gatterman reaction is a modification of Sandmeyer reaction. It is used for introducing chlorine or bromine in the benzene ring by treating diazonium salt (aqueous) with corresponding halogen acid (HCl or HBr) in the presence of Cu powder.
1526,Amines,Chemical Reactions,The yield of chlorobenzene from Sandmeyer reaction is better than that from Gatterman reaction.,0,"['True', 'False']",a,"In Gatterman reaction, there is an additional by product along with chlorobenzene and nitrogen gas, which is a copper salt (with the anion of diazonium salt). The contribution towards formation of this product results in the yield on chlorobenzene to be slightly less."
1527,Amines,Chemical Reactions,Which of the following compounds has to be used in Gatterman reaction?,0,"['Chloroform', 'HCl', 'Copper powder', 'Copper chloride']",c,"Gatterman reaction is used for the preparation of either chlorobenzene or bromobenzene by treating a diazonium salt solution with either HCl or HBr respectively, in the presence of copper powder."
1528,Amines,Chemical Reactions,Benzenediazonium bromide on Gatterman reaction with HCl does not form which of the following?,0,"['Chlorobenzene', 'Nitrogen gas', 'Copper bromide', 'Copper chloride']",d,"The anion from the diazonium salt (Br<sup>–</sup>) combines with Cu<sup>+</sup> from copper powder (in halogen acid), to form CuBr. The chlorobenzene formed gets the chlorine from HCl in solution."
1529,Amines,Chemical Reactions,When a diazonium salt is treated with ______ iodobenzene is formed.,0,"['potassium iodide', 'copper iodide', 'ethyl iodide', 'iodoform']",a,"Iodine is not easily introduced in the benzene ring directly. When an aqueous solution of benzene diazonium salt is warmed with excess potassium iodide, iodobenzene is formed."
1530,Amines,Chemical Reactions,Which of the following is not produced when C<sub>6</sub>H<sub>5</sub>N<sub>2</sub><sup>+</sup>Br<sup>–</sup> is warmed with KI?,0,"['C<sub>6</sub>H<sub>5</sub>I', 'N<sub>2</sub> gas', 'KBr', 'KNO<sub>2</sub>']",d,Replacement of diazo group by an iodide ion in benzenediazonium bromide is accompanied by the formation of potassium bromide and liberation of nitrogen gas.
1531,Amines,Chemical Reactions,Benzenediazonium chloride on treatment with _____ gives a product which on heating forms fluorobenzene.,0,"['hydrofluoric acid', 'fluoroboric acid', 'potassium fluoride', 'boron trifluoride']",b,"When benzenediazonium chloride is treated with fluoroboric acid, diazonium fluoroborate is formed, which on heating gets decomposed to give fluorobenzene. This is known as Balz-Schiemann reaction."
1532,Amines,Chemical Reactions,Aryl fluoride can be obtained directly by heating which arenediazonium salt?,0,"['Benzenediazonium fluoride', 'Benzenediazonium chloride', 'Benzenediazonium hydrogensulphate', 'Benzenediazonium fluoroborate']",d,Arenediazonium fluoroborate is obtained as a precipitate when arenediazonium chloride is treated with HBF<sub>4</sub>. This salt on heating decomposes to give aryl fluoride.
1533,Amines,Chemical Reactions,Which of the following is formed as a by product of decomposition of arenediazonium fluoroborate to give fluorobenzene?,0,"['BF<sub>3</sub>', 'BH<sub>3</sub>', 'H<sub>3</sub>BO<sub>3</sub>', 'BN']",a,Arenediazonium fluoroborate has four fluorine atoms put of which one forms fluorobenzene. The other three fluorine atoms combine with boron from BF<sub>4</sub><sup>–</sup> to form boron trifluoride along with the liberation of nitrogen gas.
1534,Amines,Chemical Reactions,Alkyl fluorides and iodides cannot be formed from Sandmeyer reaction.,0,"['True', 'False']",a,It is difficult to introduced iodide and fluoride ions into the benzene ring and are carried out by separate reactions involving potassium iodide and fluoroboric acid respectively.
1535,Amines,Chemical Reactions,"The complete reaction for the conversion of aniline to benzene, involving the reduction of diazonium salt, is known as _______",0,"['diazotisation', 'deamination', 'sandmeyer reaction', 'gatterman reaction']",b,The complete process of diazotisation of aniline followed by the reduction of diazonium salt or replacement of the diazo group by hydrogen is called deamination.
1536,Amines,Chemical Reactions,"When benzenediazonium chloride is treated with hypophosphorous acid, the product obtained is __________",0,"['phenol', 'chlorobenzene', 'benzene', 'aniline']",c,"When benzenediazonium salts are treated with mild reducing agents like hypophosphorous acid, the complete diazo and anionic group is replaced by hydrogen atom to form benzene."
1537,Amines,Chemical Reactions,"A diazonium salt, on treatment with which of the following gives benzene?",0,"['LiAlH<sub>4</sub>', 'pyridine', 'CH<sub>3</sub>CH<sub>2</sub>OH', 'HBF<sub>4</sub>']",c,"Ethanol is a mild reducing agent which on treatment with a benzenediazonium salt, oxidises to the corresponding aldehyde, and in the process reducing the diazonium salt to give benzene."
1538,Amines,Chemical Reactions,Identify ‘Y’ in the following reaction.,https://www.sanfoundry.com/wp-content/uploads/2020/02/chemistry-questions-answers-diazonium-salts-chemical-reactions-2-q4.png,"['', 'PCl<sub>3</sub>', 'H<sub>3</sub>PO<sub>4</sub>', 'H<sub>3</sub>PO<sub>3</sub>', 'H<sub>3</sub>PO<sub>2</sub>']",d,"In the reaction, benzenediazonium chloride is reduced to benzene. This is possible in the presence of a reducing agent. Since, one of the by products is H<sub>3</sub>PO<sub>3</sub>, it must be formed from the oxidation of the reducing agent, and hence must either have less O atoms or more H atoms than in H<sub>3</sub>PO<sub>3</sub>. Therefore, it is H<sub>3</sub>PO<sub>2</sub>."
1539,Amines,Chemical Reactions,A diazonium salt ‘X’ forms sulphuric acid as one the by product when is reacts with phosphinic acid to give benzene. Identify ‘X’.,0,"['Benzenediazonium chloride', 'Benzenediazonium bromide', 'Benzenediazonium hydrogensulphate', 'Benzenediazonium fluoroborate']",c,The H<sup>+</sup> ions from the aqueous solution of acid combine with the negative HSO<sub>4</sub><sup>–</sup> ions from the benzenediazonium hydrogensulphate to form H<sub>2</sub>SO<sub>4</sub> (sulphuric acid) as the by product.
1540,Amines,Chemical Reactions,Nitrogen gas is evolved as a product of the reaction between benzenediazonium salt and ethanol.,0,"['True', 'False']",a,"The nitrogen from the diazo group of the diazonium salt is liberated as free nitrogen molecule (N<sub>2</sub>) is the form of a gas, as a by-product during the reaction."
1541,Amines,Chemical Reactions,Which of the following pathways will result in the formation of benzene?,https://www.sanfoundry.com/wp-content/uploads/2020/02/chemistry-questions-answers-diazonium-salts-chemical-reactions-2-q7.png,"['Only A', 'Only B', 'Both A and', 'Neither A nor B']",b,"Hypophosphorous acid (H<sub>3</sub>PO<sub>2</sub>) is a mild reducing agent, and reacts with benzenediazonium chloride to form benzene. Propionaldehyde does not reduce diazonium salts to benzene."
1542,Amines,Chemical Reactions,Which of the following is not obtained as a product of the reaction between benzenediazonium bromide and ethanol?,0,"['Benzene', 'Nitrogen gas', 'Acetic acid', 'Hydrogen bromide']",c,"Ethanol is a mild reducing agent that reduces benzenediazonium bromide to benzene, and itself gets oxidized to an aldehyde, ethanal (CH<sub>3</sub>CHO)."
1543,Amines,Chemical Reactions,Warming an aqueous solution of benzenediazonium chloride gives phenol.,0,"['True', 'False']",a,"If the temperature of benzenediazonium salt solutions is allowed to rise upto 283K, the diazonium group is replaced by OH group, and therefore the salt get hydrolysed to phenol."
1544,Amines,Chemical Reactions,Which of the following is the most suitable reagent for converting benzenediazonium fluoroborate to nitrobenzene?,0,"['NaNO<sub>2</sub>/HCl', 'NaNO<sub>2</sub>/Cu powder', 'HBF<sub>4</sub>/HNO<sub>2</sub>', 'HNO<sub>3</sub>/HCl']",b,"Benzenediazonium fluoroborate on treatment with an aqueous solution of sodium nitrite in the presence of copper (from copper powder), gives nitrobenzene."
